YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-05,WEEKENDS/HOLIDAY,9,TRAIN,SE5,2198,771
2026-05,WEEKENDS/HOLIDAY,9,TRAIN,NE14,25877,9130
2026-05,WEEKDAY,11,TRAIN,SW7,1325,830
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,DT21,7000,5199
2026-05,WEEKDAY,19,TRAIN,PE6,6136,14799
2026-05,WEEKENDS/HOLIDAY,9,TRAIN,NE13,16847,14633
2026-05,WEEKENDS/HOLIDAY,10,TRAIN,DT10,3313,1551
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,NS20,18538,6329
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,NS3,5550,12600
2026-05,WEEKENDS/HOLIDAY,6,TRAIN,EW9,17269,3014
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,NE8,36681,17100
2026-05,WEEKENDS/HOLIDAY,12,TRAIN,CC8,5139,4198
2026-05,WEEKENDS/HOLIDAY,7,TRAIN,CC26,2210,2942
2026-05,WEEKDAY,7,TRAIN,EW29,12946,112329
2026-05,WEEKDAY,16,TRAIN,DT27,9310,7417
2026-05,WEEKDAY,16,TRAIN,TE13,5485,4824
2026-05,WEEKDAY,15,TRAIN,EW33,2901,2165
2026-05,WEEKENDS/HOLIDAY,12,TRAIN,EW4,11142,6061
2026-05,WEEKENDS/HOLIDAY,0,TRAIN,NS17/CC15,444,1618
2026-05,WEEKENDS/HOLIDAY,8,TRAIN,PW4,2287,1568
2026-05,WEEKENDS/HOLIDAY,19,TRAIN,DT13,8670,6059
2026-05,WEEKDAY,20,TRAIN,DT22,11863,14030
2026-05,WEEKDAY,16,TRAIN,EW11,16653,15237
2026-05,WEEKDAY,10,TRAIN,SE1,3978,1720
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,NE9,6525,13312
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,PW3,184,837
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,PE2,3943,3789
2026-05,WEEKDAY,5,TRAIN,EW10,3439,425
2026-05,WEEKDAY,13,TRAIN,NE4/DT19,71635,53250
2026-05,WEEKENDS/HOLIDAY,23,TRAIN,TE29,241,944
2026-05,WEEKDAY,15,TRAIN,EW8/CC9,42419,37700
2026-05,WEEKENDS/HOLIDAY,12,TRAIN,CC19/DT9,6391,6106
2026-05,WEEKDAY,12,TRAIN,NE18,13926,12279
2026-05,WEEKENDS/HOLIDAY,16,TRAIN,EW32,3886,2750
2026-05,WEEKENDS/HOLIDAY,16,TRAIN,EW23,30263,32075
2026-05,WEEKDAY,15,TRAIN,DT22,6914,7800
2026-05,WEEKDAY,23,TRAIN,NE10,1987,5568
2026-05,WEEKENDS/HOLIDAY,11,TRAIN,NS20,21887,27025
2026-05,WEEKDAY,5,TRAIN,CG2,8349,1055
2026-05,WEEKENDS/HOLIDAY,16,TRAIN,EW33,3368,2978
2026-05,WEEKDAY,17,TRAIN,PE6,8860,11000
2026-05,WEEKDAY,15,TRAIN,SW7,1108,2129
2026-05,WEEKDAY,8,TRAIN,NS25/EW13,10868,100193
2026-05,WEEKENDS/HOLIDAY,8,TRAIN,PE5,4492,1315
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,EW11,13969,12881
2026-05,WEEKENDS/HOLIDAY,23,TRAIN,NS12,1378,6746
2026-05,WEEKENDS/HOLIDAY,12,TRAIN,EW27,32240,27010
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,CC2,1224,1459
2026-05,WEEKDAY,22,TRAIN,CC26,2477,1430
2026-05,WEEKDAY,20,TRAIN,SW3,694,1205
2026-05,WEEKDAY,20,TRAIN,NE8,35281,38961
2026-05,WEEKENDS/HOLIDAY,22,TRAIN,DT2,521,869
2026-05,WEEKENDS/HOLIDAY,13,TRAIN,CC26,1818,1638
2026-05,WEEKDAY,17,TRAIN,NS25/EW13,81858,54180
2026-05,WEEKDAY,7,TRAIN,CC23,3569,34803
2026-05,WEEKDAY,0,TRAIN,NE7/DT12,210,534
2026-05,WEEKDAY,10,TRAIN,EW15,12741,62362
2026-05,WEEKDAY,14,TRAIN,EW6,7201,9615
2026-05,WEEKDAY,23,TRAIN,CC4/DT15,7024,895
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,PE5,3826,3639
2026-05,WEEKDAY,12,TRAIN,EW24/NS1,44021,59048
2026-05,WEEKENDS/HOLIDAY,18,TRAIN,TE22,5487,9068
2026-05,WEEKDAY,13,TRAIN,TE23,2009,2541
2026-05,WEEKENDS/HOLIDAY,15,TRAIN,TE24,2179,2173
2026-05,WEEKENDS/HOLIDAY,13,TRAIN,CC7,3546,3662
2026-05,WEEKDAY,23,TRAIN,NE18,1899,2696
2026-05,WEEKDAY,10,TRAIN,NE17/PTC,31591,22573
2026-05,WEEKDAY,23,TRAIN,SE5,211,1378
2026-05,WEEKENDS/HOLIDAY,18,TRAIN,TE29,2565,3096
2026-05,WEEKDAY,17,TRAIN,EW16/NE3/TE17,120677,25525
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,EW31,6212,1843
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,NE5,9460,10755
2026-05,WEEKENDS/HOLIDAY,5,TRAIN,NS20,192,387
2026-05,WEEKENDS/HOLIDAY,16,TRAIN,CC11,11770,7133
2026-05,WEEKENDS/HOLIDAY,14,TRAIN,BP11,1923,1980
2026-05,WEEKENDS/HOLIDAY,19,TRAIN,CE1/DT16,39454,34454
2026-05,WEEKDAY,22,TRAIN,NS17/CC15,10118,22504
2026-05,WEEKDAY,15,TRAIN,PW2,144,136
2026-05,WEEKENDS/HOLIDAY,5,TRAIN,TE28,32,0
2026-05,WEEKENDS/HOLIDAY,9,TRAIN,CC21,3951,7112
2026-05,WEEKDAY,19,TRAIN,EW31,11078,4510
2026-05,WEEKDAY,23,TRAIN,CC3,3051,319
2026-05,WEEKDAY,11,TRAIN,CC12,7122,3023
2026-05,WEEKDAY,17,TRAIN,DT23,14285,4916
2026-05,WEEKENDS/HOLIDAY,5,TRAIN,TE3,908,59
2026-05,WEEKDAY,6,TRAIN,NE18,14003,4517
2026-05,WEEKENDS/HOLIDAY,5,TRAIN,DT24,242,0
2026-05,WEEKDAY,17,TRAIN,PW6,1904,2531
2026-05,WEEKDAY,9,TRAIN,SW6,2694,1504
2026-05,WEEKDAY,14,TRAIN,DT2,4409,2360
2026-05,WEEKENDS/HOLIDAY,21,TRAIN,EW8/CC9,29997,15368
2026-05,WEEKENDS/HOLIDAY,0,TRAIN,DT4,4,230
2026-05,WEEKDAY,18,TRAIN,DT31,13644,34104
2026-05,WEEKDAY,0,TRAIN,SE3,37,608
2026-05,WEEKDAY,14,TRAIN,NE18,11232,13008
2026-05,WEEKENDS/HOLIDAY,17,TRAIN,DT31,5455,5913
2026-05,WEEKENDS/HOLIDAY,13,TRAIN,EW6,7761,6754
2026-05,WEEKENDS/HOLIDAY,15,TRAIN,CG1/DT35,12463,13706
2026-05,WEEKDAY,6,TRAIN,EW23,48908,46162
2026-05,WEEKDAY,12,TRAIN,CC6,9541,7411
2026-05,WEEKDAY,15,TRAIN,EW31,2960,595
2026-05,WEEKDAY,22,TRAIN,PW5,453,3151
2026-05,WEEKENDS/HOLIDAY,14,TRAIN,NS28,4741,3656
2026-05,WEEKDAY,20,TRAIN,NE13,16916,28480
2026-05,WEEKDAY,8,TRAIN,DT28,29329,36425
2026-05,WEEKDAY,7,TRAIN,PE3,18292,6493
