YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-03,WEEKDAY,12,TRAIN,SE2,5517,4280
2026-03,WEEKDAY,7,TRAIN,CE1/DT16,11964,29431
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,DT25,2571,2329
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,EW15,8988,4571
2026-03,WEEKDAY,12,TRAIN,NE10,16880,13072
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,CC27,949,848
2026-03,WEEKDAY,22,TRAIN,SW7,523,3091
2026-03,WEEKDAY,5,TRAIN,DT24,1667,4
2026-03,WEEKDAY,6,TRAIN,CC11,9935,23646
2026-03,WEEKENDS/HOLIDAY,16,TRAIN,EW26,14133,15002
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,PW5,535,6
2026-03,WEEKDAY,16,TRAIN,EW24/NS1,95446,69097
2026-03,WEEKDAY,15,TRAIN,TE13,5282,5543
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,BP9,351,283
2026-03,WEEKDAY,10,TRAIN,EW30,1340,1703
2026-03,WEEKDAY,21,TRAIN,PE1,1158,6352
2026-03,WEEKENDS/HOLIDAY,16,TRAIN,CC8,2207,2487
2026-03,WEEKDAY,19,TRAIN,SW3,1447,4988
2026-03,WEEKDAY,22,TRAIN,CC10/DT26,7893,15218
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,SW6,2050,1108
2026-03,WEEKDAY,16,TRAIN,DT31,8646,10273
2026-03,WEEKDAY,14,TRAIN,TE24,4677,3666
2026-03,WEEKENDS/HOLIDAY,15,TRAIN,DT18,3112,2136
2026-03,WEEKDAY,7,TRAIN,NS10,169141,62753
2026-03,WEEKDAY,10,TRAIN,CC23,3867,29829
2026-03,WEEKDAY,17,TRAIN,DT23,17028,6039
2026-03,WEEKDAY,17,TRAIN,EW8/CC9,104982,77036
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,PE2,3295,1789
2026-03,WEEKDAY,12,TRAIN,TE8,9308,10010
2026-03,WEEKDAY,7,TRAIN,DT3,22419,10478
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,TE1,2034,1322
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,EW12/DT14,39068,26132
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,TE24,865,2038
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,CC3,8,8
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,CC8,2280,1728
2026-03,WEEKENDS/HOLIDAY,16,TRAIN,EW12/DT14,45800,41333
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,TE19,301,1120
2026-03,WEEKDAY,16,TRAIN,EW22,13597,8003
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,DT24,2244,1694
2026-03,WEEKDAY,20,TRAIN,CC19/DT9,5976,5305
2026-03,WEEKDAY,18,TRAIN,CC24,117219,22610
2026-03,WEEKDAY,7,TRAIN,CC17/TE9,25645,25825
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,EW10,8621,9472
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,PW7,1647,707
2026-03,WEEKENDS/HOLIDAY,14,TRAIN,TE5,2896,2635
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,CC23,669,2390
2026-03,WEEKDAY,11,TRAIN,DT4,2781,997
2026-03,WEEKDAY,21,TRAIN,PW6,447,1907
2026-03,WEEKDAY,9,TRAIN,DT5,24252,13256
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,TE5,2022,2332
2026-03,WEEKENDS/HOLIDAY,22,TRAIN,EW1,4954,13535
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,PW2,185,152
2026-03,WEEKDAY,7,TRAIN,CC2,834,5409
2026-03,WEEKDAY,23,TRAIN,SW6,273,1853
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,BP6/DT1,21326,11542
2026-03,WEEKDAY,20,TRAIN,TE3,8554,18600
2026-03,WEEKDAY,17,TRAIN,DT10,7803,6526
2026-03,WEEKDAY,21,TRAIN,CC26,3353,3462
2026-03,WEEKDAY,11,TRAIN,DT21,8779,13180
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,PW5,969,2544
2026-03,WEEKDAY,17,TRAIN,PE4,2535,2760
2026-03,WEEKDAY,7,TRAIN,DT28,35123,29176
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,NE8,8788,14699
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,NS9/TE2,28960,29437
2026-03,WEEKDAY,12,TRAIN,DT33,16105,8500
2026-03,WEEKDAY,18,TRAIN,NS17/CC15,78350,72426
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,NE16/STC,6935,2667
2026-03,WEEKDAY,17,TRAIN,NE14,37399,61139
2026-03,WEEKDAY,6,TRAIN,SW2,7296,2367
2026-03,WEEKDAY,6,TRAIN,NE14,46569,16542
2026-03,WEEKDAY,9,TRAIN,NE15,49685,9893
2026-03,WEEKENDS/HOLIDAY,14,TRAIN,DT17,2301,2524
2026-03,WEEKDAY,12,TRAIN,BP11,3536,2287
2026-03,WEEKDAY,0,TRAIN,PW4,59,484
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,BP5,368,206
2026-03,WEEKDAY,10,TRAIN,CC5,2186,4106
2026-03,WEEKDAY,20,TRAIN,CC28,2205,6310
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,NS8,9821,5403
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,BP6/DT1,20990,12049
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,EW9,13670,19207
2026-03,WEEKDAY,6,TRAIN,EW6,14348,4269
2026-03,WEEKDAY,16,TRAIN,SW7,2673,3148
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,EW23,17010,22669
2026-03,WEEKDAY,5,TRAIN,TE14/NS22,919,1474
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,NE10,8327,8516
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,PE4,729,380
2026-03,WEEKENDS/HOLIDAY,14,TRAIN,NE17/PTC,23967,23355
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,EW24/NS1,13593,23746
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,EW9,11564,4801
2026-03,WEEKDAY,19,TRAIN,PW5,2136,7227
2026-03,WEEKENDS/HOLIDAY,15,TRAIN,EW29,6036,4389
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,SW8,833,1061
2026-03,WEEKDAY,14,TRAIN,NE8,28531,29560
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,NS18,4707,7872
2026-03,WEEKDAY,21,TRAIN,TE11,2729,4905
2026-03,WEEKENDS/HOLIDAY,17,TRAIN,CC2,3314,2071
2026-03,WEEKENDS/HOLIDAY,15,TRAIN,BP6/DT1,17187,17442
2026-03,WEEKDAY,22,TRAIN,SE2,1096,6805
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,NE18,0,386
2026-03,WEEKDAY,22,TRAIN,SW1,1263,1363
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,TE1,2763,928
2026-03,WEEKDAY,9,TRAIN,PW4,5765,3424
2026-03,WEEKDAY,12,TRAIN,BP6/DT1,34249,29926
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,PE1,2387,960
2026-03,WEEKDAY,19,TRAIN,TE23,3670,9145
2026-03,WEEKDAY,0,TRAIN,SW6,19,539
2026-03,WEEKDAY,8,TRAIN,EW22,17181,22626
2026-03,WEEKDAY,12,TRAIN,TE23,3069,2655
2026-03,WEEKENDS/HOLIDAY,22,TRAIN,CC17/TE9,1035,2470
2026-03,WEEKENDS/HOLIDAY,14,TRAIN,TE1,1899,1288
2026-03,WEEKDAY,23,TRAIN,PE3,496,2972
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,DT28,2755,7426
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,EW3,9340,5773
2026-03,WEEKDAY,12,TRAIN,EW16/NE3/TE17,51177,40762
2026-03,WEEKDAY,13,TRAIN,BP6/DT1,33708,31279
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,TE13,639,550
2026-03,WEEKDAY,7,TRAIN,CC21,11980,13618
2026-03,WEEKENDS/HOLIDAY,15,TRAIN,EW17,11123,11745
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,EW27,94,3161
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,EW10,6463,6160
2026-03,WEEKDAY,0,TRAIN,PE1,52,835
2026-03,WEEKDAY,15,TRAIN,CC2,6563,5506
2026-03,WEEKDAY,5,TRAIN,BP2,2187,428
2026-03,WEEKDAY,19,TRAIN,DT13,20834,15375
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,EW14/NS26,1538,6126
2026-03,WEEKDAY,13,TRAIN,PE4,1590,2054
2026-03,WEEKDAY,0,TRAIN,TE3,114,1871
2026-03,WEEKDAY,19,TRAIN,PE4,1936,4218
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,EW12/DT14,27023,45667
2026-03,WEEKENDS/HOLIDAY,21,TRAIN,TE18,5718,2558
2026-03,WEEKDAY,5,TRAIN,TE27,921,0
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,TE29,2032,1671
2026-03,WEEKDAY,9,TRAIN,TE11,7778,3574
2026-03,WEEKENDS/HOLIDAY,21,TRAIN,NS16,11263,24100
2026-03,WEEKDAY,6,TRAIN,TE14/NS22,5534,26488
2026-03,WEEKENDS/HOLIDAY,21,TRAIN,NE12/CC13,24055,24596
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,SW5,4284,3887
2026-03,WEEKENDS/HOLIDAY,13,TRAIN,CC20,3079,2450
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,EW23,19197,15995
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,TE22,9413,2716
2026-03,WEEKDAY,5,TRAIN,DT31,2580,102
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,EW10,6706,4919
2026-03,WEEKDAY,19,TRAIN,TE6,8680,31362
2026-03,WEEKENDS/HOLIDAY,10,TRAIN,DT6,3618,2140
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,NS4/BP1,15692,10938
